cust_id,first_name,last_name,email,birth_dt,Street_Address,City,State,Zipcode,Age
1001,Dorri,Rawlinson,dorri.rawlinson@gmail.com,1947-04-13,653 Hanover Hill,New Haven,CT,6510,78
1002,Hewet,Darwin,hewet.darwin@live.org,1959-01-08,4085 Sutteridge Alley,Brooklyn,NY,11231,66
1003,Mort,Zimmermanns,mort.zimmermanns@gmail.com,1954-04-21,23324 Schmedeman Pass,Houston,TX,77070,71
1004,Archie,Killcross,archie.killcross@outlook.net,1966-11-19,9 Parkside Park,Washington,DC,20005,59
1005,Staci,Felde,staci.felde@live.org,1973-11-12,519 Golf Street,Sacramento,CA,94237,52
1006,Ogdon,Fick,ogdon.fick@live.org,1966-03-21,92501 Spenser Lane,Spring,TX,77386,59
1007,Dotti,Pischel,dotti.pischel@gmail.com,1984-01-14,681 Rusk Junction,New York City,NY,10275,41
1008,Lily,Fyfield,lily.fyfield@outlook.net,1986-09-22,98945 Harper Plaza,Syracuse,NY,13210,39
1009,Lorianne,Tirte,lorianne.tirte@gmail.com,1951-02-11,012 Main Pass,Lima,OH,45807,74
1010,Lexi,Tender,lexi.tender@outlook.net,2004-07-19,6015 Carioca Lane,Houston,TX,77010,21
1011,Ardella,Cordle,ardella.cordle@live.org,1994-11-13,440 Lakeland Crossing,Atlanta,GA,30340,31
1012,Maegan,Peteri,maegan.peteri@gmail.com,1967-03-27,00 Londonderry Place,Young America,MN,55564,58
1013,Kassi,McEachern,kassi.mceachern@gmail.com,1980-12-01,1043 Schurz Pass,Stockton,CA,95210,45
1014,Letitia,Gossage,letitia.gossage@example.com,1986-03-22,11020 Bayside Center,Littleton,CO,80161,39
1015,Giselle,Petris,giselle.petris@live.org,1993-03-24,37 Dahle Point,Vancouver,WA,98687,32
1016,Alwyn,Sidnall,alwyn.sidnall@example.com,1994-03-24,2865 Killdeer Point,Dallas,TX,75221,31
1017,Francesca,Brockington,francesca.brockington@live.org,1972-01-03,23623 Spaight Road,Indianapolis,IN,46231,53
1018,Maggee,McFadin,maggee.mcfadin@outlook.net,1977-06-12,38713 Lunder Circle,Arlington,VA,22225,48
1019,Haywood,Lodder,haywood.lodder@gmail.com,1985-02-26,1908 Florence Parkway,Tucson,AZ,85754,40
1020,Rockie,Stockey,rockie.stockey@gmail.com,1970-06-17,892 Sachtjen Lane,Reading,PA,19605,55
1021,Daryle,Glassborow,daryle.glassborow@example.com,1956-10-27,248 Spaight Street,Indianapolis,IN,46239,69
1022,Bjorn,Jirousek,bjorn.jirousek@live.org,1985-09-14,0 Hazelcrest Trail,Albuquerque,NM,87140,40
1023,Rori,Blamphin,rori.blamphin@live.org,1993-10-12,5 Florence Court,Naples,FL,33963,32
